Nível,Nome do Vinho,Tipo de Vinho,País de Origem
1,Cabernet Sauvignon, Tinto, França
1,Chardonnay, Branco, Estados Unidos
1,Merlot, Tinto, Itália
1,Sauvignon Blanc, Branco, Nova Zelândia
1,Malbec, Tinto, Argentina 
2,Cabernet Sauvignon Reserva, Tinto, Chile
2,Chardonnay Gran Reserva, Branco, Argentina
2,Pinot Noir Premium, Tinto, França
2,Merlot Seleção Especial, Tinto, Itália
2,Sauvignon Blanc Reserve, Branco, Nova Zelândia
3,Château Margaux, Grand Cru Classé, França
3,Opus One, Blend (Cabernet Sauvignon/Merlot),  Estados Unidos
3,Barolo Riserva, DOCG, Itália
3,Châteauneuf-du-Pape, Grenache Blend, França
3,Brunello di Montalcino, DOCG, Itália

